Elemento	Bazformo	Statuso	BRO	Oficiala difino	France	Angle	Germane	Pole	Ruse	Hispane	Itale	Katalune	Portugale
OPINI/	opini/i	F	BRO4: opinii		penser, croire	be of opinion, think AK	meinen	sa;dzic', opiniowac'	????? ??????, ???????? AK				
OPON/	opon/i	8OA	BRO9: oponi	opon/i. Esprimi opinion kontrau(an al la opinio de iu alia kaj peni, ke tiu ne povu efektivigi la sian.	s’opposer à, aller contre, contrecarrer	to oppose	entgegenstellen, entgegen, opponieren			oponerse (noto)	opporsi		opor-se
OPORTUN/	oportun/a	F	BRO7: oportuna		commode, ce qui est à propos	opportune, suitable	bequem, gelegen AK	wygodny	???????				
OPOZICI/	opozici/i	2OA	BRO9: opozicii										
OR/	or/o	F	BRO6: oro		or (métal)	gold	Gold	z?oto	??????				
ORANG^/	orang^/o	F	BRO7: orang^o		orange	orange	Apfelsine	pomaran'cza	?????????				
ORATOR/	orator/o	1OA	BRO9: oratoro		orateur	orator	Redner	mówca	???????				
ORD/	ord/o	F	BRO4: ordo		ordre (arrangement)	order, arrange	Ordnung	porza;dek	????????				
ORDINAR/	ordinar/a	F	BRO5: ordinara		ordinaire	ordinary	gewöhnlich	zwyczajny	????????????				
ORDON/	ordon/i	F	BRO4: ordoni		ordonner	order, command	befehlen	rozkazywac'	???????????				
OREL/	orel/o	F	BRO4: orelo		oreille	ear	Ohr	ucho	???				
ORF/	orf/o	F	BRO8: orfo		orphelin (subst.) AK	orphan	Waise	sierota	??????				
ORGAN/	organ/o	1OA	BRO7: organo		organe	organ	Organ	organ	??????				
ORGANIZ/	organiz/i	1OA	BRO6: organizi		organiser	organize	organisieren	organizowac'	????????????				
ORIENT/	orient/o	F	BRO6: oriento		est	east, orient AK	Osten	wschód	???????				
ORIGIN/	origin/o	1OA	BRO7: origino		origine	origin	Ursprung	pochodzenie	?????????????				
ORIGINAL/	original/o	1OA	BRO8: originalo		original	original	Original	orygina?	?????????				
ORKESTR/	orkestr/o	1OA	BRO9: orkestro		orchestre	orchestra	Orchester	orkiestra	????????				
ORNAM/	ornam/i	F	BRO7: ornami		orner	ornament (vb.), adorn AK	schmücken, (ver)zieren, (an)putzen AK	zdobic'	???????? AK				
ORT/	ort/o	8OA	BRO8: orto	ort/o 90-grada angulo: se du rektoj krucig^as, tiel ke du apudaj anguloj estas egalaj, ili determinas kvar ortojn.	angle droit, un droit	right angle	rechter Winkel, Rechter			ángulo recto, recto	angolo retto		ángulo reto
ORTOGRAFI/	ortografi/o	1OA	BRO9: ortografio		orthographe	orthography	Rechtschreibung	pisownia	????????????, ??????????				
-OS	-os	F	BRO1: -os		marque le futur	ending of future tense in verbs	bezeichnet das Futur	oznacza czas przysz?y	????????? ??????? ?????				
OSCED/	osced/i	F	BRO8: oscedi		bâiller	yawn, gape AK	gähnen	ziewac'	??????				
OST/	ost/o	F	BRO6: osto		os	bone	Knochen	kos'c'	?????				
OT/	-ot-	F	BRO1: -ot-		marque le participe futur d’un verbe passif	ending of fut. part. pass. in verbs	bezeichnet das Participium fut. pass.	oznacza imies?ów bierny czasu przysz?ego	????????? ????????? ???????? ??????? ?????????????? ??????				
OV/	ov/o	F	BRO5: ovo		œuf	egg	Ei	jajko	????				
OVAL/	oval/o	F	BRO9: ovalo		ovale	oval	oval	owalny	????????				
PAC/	pac/o	F	BRO3: paco		paix	peace	Friede	pokój, spokój	????				
PACIENC/	pacienc/a	F	BRO6: pacienca		patience	patience	Geduld	cierpliwos'c'	????????				
PACIFIK/	Pacifik/o	8OA	BRO9: Pacifiko	Pacifik/o. La oceano inter Ameriko, Azio kaj Oceanio.	le Pacifique	The Pacific	der Stille Ozean, der Pazifik			el Pacífico	il Pacifico		o Pacífico
PAF/	paf/i	F	BRO6: pafi		tirer, faire feu	shoot	schiessen	strzelac'	????????				
PAG/	pag/i	F	BRO3: pagi		payer	pay	zahlen	p?acic'	???????				
PAG^/	pag^/o	F	BRO5: pag^o		page (d’un livre)	page (book) AK	Seite (Buch-)	stronica	????????				
PAJL/	pajl/o	F	BRO7: pajlo		paille	straw	Stroh	s?oma	??????				
PAK/	pak/o	F	BRO5: pako		empaqueter, emballer	pack, put up AK	packen, einpacken	pakowac'	??????????, ???????????				
PAL/	pal/a	F	BRO7: pala		pâle	pale	bleich, blass	blady	???????				
PALAC/	palac/o	F	BRO8: palaco		palais	palace	Schloss (Gebäude)	pa?ac	???????				
PALAT/	palat/o	F	BRO9: palato		palais (de la bouche)	palate	Gaumen	podniebienie	????				
PALIS/	palis/o	F	BRO9: paliso		pieu, échalas, palissade	pale, stake	Pfahl	pal	??????, ????				
PALM/	palm/o	F	BRO9: palmo		palmier	palm-tree AK	Palme	palma	??????				
PALP/	palp/i	F	BRO9: palpi		palper, toucher, tâter AK	touch, feel	tasten, fühlen AK	macac'	??????				
PALPEBR/	palpebr/o	F	BRO9: palpebro		paupière	eyelid	Augenlied	powieka	????				
PALT/	palt/o	1OA	BRO9: palto		paletot, pardessus	overcoat	Ueberzieher	palto	??????				
PAN/	pan/o	F	BRO4: pano		pain	bread	Brot	chleb	?????				
PANE/	pane/o	8OA	BRO9: paneo	pane/o. Akcidenta nefunkciado de aparato au( de motorveturilo.	panne (tech.)	breakdown, failure	Panne, Störung, Schaden, Defekt			avería	panna, panne, guasto (meccanico), avaria		pane
PANTALON/	pantalon/o	F	BRO6: pantalono		pantalon	trousers AK	Hosen	spodnie	?????				
