Elemento	Bazformo	Statuso	BRO	Oficiala difino	France	Angle	Germane	Pole	Ruse	Hispane	Itale	Katalune	Portugale
PRUN/	prun/o	F	BRO9: pruno		prune	plum	Pflaume	s'liwka	?????				
PRUNT/	prunt/o	F	BRO5: prunto		en prêt, prêter, emprunter AK	borrow, loan AK	leihen, borgen	poz.yczac'	??????				
PRUV/	pruv/i	F	BRO8: pruvi		prouver	prove, demonstrate	beweisen	dowodzic'	??????????				
PSIKOLOGI/	psikologi/o	2OA	BRO9: psikologio										
PUBLIK/	publik/o	F	BRO6: publiko		public	public	Publikum	publika	???????				
PUDR/	pudr/o	F	BRO9: pudro		poudre (pour la toilette) AK	powder (cosmetic) AK	Puder	puder	?????				
PUGN/	pugn/o	F	BRO7: pugno		poing	fist	Faust	ku?ak, pie;s'c' AK	??????				
PULM/	pulm/o	F	BRO8: pulmo		poumon	lung	Lunge	p?uco	??????				
PULV/	pulv/o	F	BRO8: pulvo		poudre à tirer	gunpowder	Pulver (Schiess-)	proch (strzelniczy) AK	??????				
PULVOR/	pulvor/o	F	BRO8: pulvoro		poudre (matière pulvérisée) AK	powder (med. or chem.) AK	Pulver (zu Arznei u. drgl.)	proszek	????????				
PUMP/	pump/i	F	BRO8: pumpi		pomper	pump (vb.) AK	pumpen	pompowac'	?????????? ????????				
PUN/	pun/i	F	BRO6: puni		punir	punish	strafen	karac'	??????????				
PUNKT/	punkt/o	F	BRO3: punkto		point	full stop, dot, point AK	Punkt	punkt, kropka	?????, ??????				
PUNT/	punt/o	F	BRO9: punto		dentelle	lace (point, etc.) AK	Spitzen	koronka	???????				
PUP/	pup/o	F	BRO8: pupo		poupée	doll	Puppe	lalka	?????				
PUPIL/	pupil/o	F	BRO9: pupilo		pupille (de l’œil)	pupil (eye) AK	Pupille	z.renica	???????				
PUR/	pur/a	F	BRO3: pura		pur, propre	clean, pure AK	rein	czysty	??????				
PUS/	pus/o	F	BRO9: puso		pus	pus, matter	Eiter	ropa, materya AK	????				
PUS^/	pus^/i	F	BRO5: pus^i		pousser (impulsion)	push	stossen	pchac'	???????				
PUT/	put/o	F	BRO7: puto		puits	well (subst.)	Brunnen	studnia	????????				
PUTR/	putr/i	F	BRO8: putri		pourrir (intr.) AK	rot, putrify AK	faulen	gnic'	?????				
RAB/	rab/i	F	BRO8: rabi		piller	rob	rauben, plündern	rabowac', grabic'	???????				
RABAT/	rabat/o	F	BRO9: rabato		rabais, concession	rebate, discount	Rabatt	rabat, uste;pstwo	???????, ??????				
RACI/	raci/o	1OA	BRO9: racio		rationnel	rational	rational, vernünftig	racjonalny	????????????				
RAD/	rad/o	F	BRO6: rado		roue	wheel	Rad	ko?o (od woza i t. p.)	??????				
RADI/	radi/o	F	BRO5: radio		rayon (de lumière, de roue)	beam, ray	Strahl	promien'	???, ????? (??????) AK				
RADIATOR/	radiator/o	8OA	BRO9: radiatoro	radiator/o. Aparato - ordinare tubaro entenanta akvon, oleon, vaporon au( varman aeron - au( mas^inorgano, kiu disradias varmon c^irkau( si, c^u por hejti lokon, c^u por malvarmigi mas^inparton au( sistemon (kiel ekzemple: eksplodmotoron); ankau( elektra hejtilo.	radiateur	radiator	Heizkörper, Kühler			radiador	radiatore		radiador
RADIK/	radik/o	F	BRO7: radiko		racine	root	Wurzel	korzen'	??????				
RAFAN/	rafan/o	F	BRO9: rafano		raifort	radish	Rettig	rzodkiew	??????				
RAJD/	rajd/i	F	BRO7: rajdi		aller à cheval	ride	reiten	jez'dzic' konno	?????? ???????				
RAJT/	rajt/o	F	BRO3: rajto		droit (le)	right, authority	Recht, Befugniss	prawo (miec' prawo) AK	?????				
RAKONT/	rakont/i	F	BRO3: rakonti		raconter	tell, relate	erzählen	opowiadac'	????????????				
RAMP/	ramp/i	F	BRO8: rampi		ramper	crawl	kriechen	pe?zac'	???????				
RAN/	ran/o	F	BRO9: rano		grenouille	frog	Frosch	z.aba	???????				
RAND/	rand/o	F	BRO6: rando		bord, extrémité	edge, border, hem (s.) AK	Rand	brzeg	???? (???????) AK				
RANG/	rang/o	F	BRO8: rango		rang, rangée, dignité	rank, dignity	Rang	ranga	????, ???????, ??? AK				
RAPID/	rapid/a	F	BRO2: rapida		rapide, vite	quick, rapid	schnell	pre;dki, bystry	???????				
RAPORT/	raport/i	F	BRO8: raporti		rapporter	report	berichten, melden	zdawac' sprawe;, meldowac' AK	????????, ???????????				
RAT/	rat/o	F	BRO8: rato		rat	rat	Ratte	szczur	?????				
RAU(K/	rau(k/a	F	BRO9: rau(ka		rauque, enroué	hoarse	heiser	ochryp?y	???????				
RAU(P/	rau(p/o	F	BRO9: rau(po		chenille	caterpillar	Raupe	ga;sienica	????????				
RAV/	rav/i	F	BRO8: ravi		ravir, enchanter	enrapture, delight AK	entzücken	zachwycic'	?????????				
RAZ/	raz/i	F	BRO7: razi		raser, faire la barbe	shave	rasiren	golic'	?????				
RE/	re-	F	BRO1: re-		de nouveau, de retour; re-, ré-	again, back	wieder, zurück	znowu, napowrót	?????, ??????				
RE/PREZENT/	re/prezent/i	F	BRO7: reprezenti		représenter	represent	vertreten	reprezentowac'	???? ???????????????				
RE/SUM/	re/sum/i	F	BRO9: resumo		résumer	make a summary AK	zusammenfassen AK	stres'cic' AK	????????? ?????				
REAKCI/	reakci/o	3OA	BRO9: reakcio		réaction	reaction	Reaktion	reakcja		reacción (noto)	reazione		reacção (noto)
REAL/	real/a	1OA	BRO9: reala		réel	real	real, wirklich	realny	????????				
RECENZ/	recenz/i	3OA	BRO9: recenzi		faire la critique, rendre compte d’une œuvre	to criticize, to write a review of	rezensieren, besprechen, referieren	oceniac' (noto)		criticar	recensire, criticare (un’opera) (noto)		recensear
RECEPT/	recept/o	1OA	BRO8: recepto		ordonnance (méd.)	recipe, prescription	Rezept	recepta	???????				
RECIPROK/	reciprok/a	F	BRO8: reciproka		mutuel, réciproque	mutual, reciprocal	gegenseitig	wzajemny	????????				
REDAKT/	redakt/i	1OA	BRO9: redakti		rédiger	edit, draw up	redigieren	redagowac'	?????????????				
REDUKT/	redukt/i	4OA	BRO9: redukti		réduire (math., chim.)	to reduce (math., chem.)	reduzieren, zurückführen, vereinfachen (math.)			reducir (mat., quím.)	ridurre (mat., chim.)	reduir	reduzir
REFLEKT/	reflekt/i	8OA	BRO9: reflekti	reflekt/i. (Se paroli pri surfaco de korpo) Fari, ke trafanta lumradio, sonondo k.a. ne penetru en iun surfacon, sed s^ang^u sian direkton al direkto simetria rilate al la ortanto c^e la trafpunkto.	réfléchir (lumière), renvoyer (son)	to reflect (phys.)	zurückstrahlen, zurückwerfen, reflektieren			reflejar, reflectar	riflettere		reflectir
REG/	reg/i	F	BRO3: regi		gouverner, régir	rule, govern AK	regiren	rza;dzic', panowac' AK	???????				
REGAL/	regal/i	F	BRO8: regali		régaler, traiter	entertain, regale	bewirthen	cze;stowac', ugos'cic' AK	???????				
REGIMENT/	regiment/o	F	BRO9: regimento		regiment	regiment	Regiment	pó?k	?????				
REGION/	region/o	F	BRO5: regiono		région, territoire	district, region, part AK	Gebiet	okre;g, okolica AK	???????				
REGISTR/	registr/o	F	BRO7: registro		enregistrer AK	register	eintragen, registrieren AK	rejestrowac'	??????????????				
REGN/	regn/o	F	BRO6: regno		l’Etat	State (the) AK	Staat, Reich AK	pan'stwo	???????????				
REGUL/	regul/o	F	BRO6: regulo		règle (principe)	rule (subst.) AK	Regel	prawid?o, regula	???????				
REG^/	reg^/o	F	BRO5: reg^o		roi	king	König	król	??????, ????				
REG^IM/	reg^im/o	3OA	BRO9: reg^imo		régime (forme de gouvernement)	regime	Regime, Regierungsform			régimen (noto)	regime, forma di governo		regimem
REKLAM/	reklam/i	1OA	BRO8: reklami		réclame	advertisement	Reklame	reklama	???????				
REKOMEND/	rekomend/i	F	BRO6: rekomendi		recommander	recommend	empfehlen	rekomendowac', polecac'	?????????????				
REKOMPENC/	rekompenc/o	F	BRO8: rekompenco		recompenser	reward	belohnen	wynagradzac'	??????????				
REKORD/	rekord/o	2OA	BRO8: rekordo										
REKT/	rekt/a	F	BRO5: rekta		droit, direct	straight	gerade, direkt AK	prosty	??????				
REL/	rel/o	F	BRO7: relo		rail	a rail AK	Schiene	szyna	??????				
RELATIV/	relativ/a	2OA	BRO9: relativa										
RELIGI/	religi/o	F	BRO5: religio		religion	religion	Religion	religia	????, ???????				
REM/	rem/i	F	BRO8: remi		ramer	row (vb.)	rudern	wios?owac'	?????? (???????)				
REN/	ren/o	F	BRO9: reno		rein	kidney	Niere	nerka	?????				
RENDEVU/	rendevu/o	1OA	BRO9: rendevuo		rendez-vous	appointment	Rendez-vous	schadzka	????????				
RENKONT/	renkont/i	F	BRO3: renkonti		rencontrer	meet	begegnen	spotykac'	?????????				
RENT/	rent/o	F	BRO9: rento		rente, revenu	yearly income AK	Rente	renta, dochód	?????, ??????				
RENVERS/	renvers/i	F	BRO7: renversi		renverser	upset	umwerfen, umstürzen	przewracac'	????????????				
RESPEKT/	respekt/i	F	BRO6: respekti		respect	respect	Respekt	uszanowanie, respekt	????????				
RESPOND/	respond/i	F	BRO2: respondi		répondre	reply	antworten	odpowiadac'	????????				
RESPUBLIK/	respublik/o	1OA	BRO8: respubliko		république	republic	Republik	rzeczpospolita	??????????				
RESTORACI/	restoraci/o	F	BRO7: restoracio		restaurant, auberge	eating-house	Speisehaus	restauracya	???????? AK				
RET/	ret/o	F	BRO6: reto		filet (de mailles)	net (a) AK	Netz	siec', siatka	????				
REV/	rev/i	F	BRO8: revi		rêver, imaginer	dream (vb.) AK	träumen, schwärmen	marzyc'	???????				
REVIZI/	revizi/i	3OA	BRO9: revizii		réviser	to revise	revidieren	rewidowac' (noto)		revisar	rivedere		rever
REVOLUCI/	revoluci/i	1OA	BRO9: revolucii		révolution	revolution	Revolution	rewolucja	?????????				
REVU/	revu/o	2OA	BRO8: revuo										
REZERV/	rezerv/o	F	BRO8: rezervo		réserver	reserve	vorbehalten	zachowac', zarezerwowac'	?????????, ????????? ??? ????, ?????????? ?? ????? AK				
REZIGN/	rezign/i	3OA	BRO8: rezigni		renoncer à, résigner	to resign	entsagen, verzichten	rezygnowac' (noto)		resignar, renunciar	rassegnare, rinunziare		resignar, renunciar
REZIST/	rezist/i	4OA	BRO8: rezisti		résister	to resist	widerstehen, widerstreben, sich widersetzen			resistir	resistere	resistir	resistir
REZON/	rezon/i	1OA	BRO9: rezoni		raisonner	to reason	urteilen, schliessen	rozumowac'	??????????				
REZULT/	rezult/i	2OA	BRO6: rezulti										
RIB/	rib/o	F	BRO9: ribo		grosille	currant	Johannisbeere	porzeczka	?????????				
RIBEL/	ribel/i	F	BRO8: ribeli		se révolter	revolt, rebel (vb.) AK	sich empören AK	powstawac', rokoszowac'	??????????, ????????? AK				
RICEV/	ricev/i	F	BRO2: ricevi		recevoir, obtenir	obtain, get, receive	erhalten AK	otrzymac'	????????				
RIC^/	ric^/a	F	BRO2: ric^a		riche	rich	reich	bogaty	???????				
RID/	rid/i	F	BRO2: ridi		rire	laugh	lachen	s'miac' sie;	????????				
RIFUG^/	rifug^/i	F	BRO8: rifug^i		se réfugier	take refuge, shelter AK	Zuflucht nehmen	schronic' sie; AK	??????????, ???????? ??????? AK				
RIFUZ/	rifuz/i	F	BRO6: rifuzi		refuser	refuse	verweigern, sich weigern, ausschlagen AK	odmanwiac'	??????????				
RIGARD/	rigard/i	F	BRO3: rigardi		regarder	behold, look at	schauen, blicken, betrachten AK	patrzec'	????????				
RIGID/	rigid/a	F	BRO9: rigida		roide, rigide	stiff, rigid	starr	ste;z'a?y, zdre;twia?y	??????????				
RIKOLT/	rikolt/i	F	BRO6: rikolti		récolter, moissoner	reap	ernten, schneiden	z'a;c', sprza;tac'	???? (????, ???????) AK				
RILAT/	rilat/i	F	BRO6: rilati		concerner; avoir raport à	relate to AK	sich beziehen	odnosic' sie;, tyczec' sie;	??????????				
RIM/	rim/o	F	BRO9: rimo		rime	rhyme	Reim	rym	?????				
RIMARK/	rimark/i	F	BRO3: rimarki		remarquer	remark	merken, bemerken	zauwaz'ac', postrzegac'	????????				
RIMED/	rimed/o	F	BRO3: rimedo		moyen, expédient	means, remedy	Mittel	s'rodek	????????				
RIMEN/	rimen/o	F	BRO9: rimeno		courroie, lanière	strap (a) AK	Riemen	rzemien'	??????				
RING/	ring/o	F	BRO7: ringo		anneau	ring (subst.)	Ring	piers'cien'	??????				
RIP/	rip/o	F	BRO8: ripo		côte (anat.) AK	rib	Rippe	z'ebro	?????				
RIPAR/	ripar/i	1OA	BRO6: ripari		réparer	repair	reparieren	naprawiac'	????????				
RIPET/	ripet/i	F	BRO5: ripeti		répéter	repeat	wiederholen	powtarzac'	?????????				
RIPOZ/	ripoz/i	F	BRO4: ripozi		reposer (se reposer)	repose	ruhen	odpoczywac'	????????				
RIPROC^/	riproc^/i	F	BRO6: riproc^i		reprocher	reproach	vorwerfen	zarzucac', robic' wyrzuty AK	????????				
RISK/	risk/i	F	BRO8: riski		risquer, oser AK	risk	wagen	ryzykowac'	?????????				
RITM/	ritm/o	1OA	BRO8: ritmo		rythme	rhythm	Rhythmus	rytm	?????				
RIVEL/	rivel/i	8OA	BRO9: riveli	rivel/i 1. Aperigi tion, kio estis nekonata, sekreta au( nevidebla: "riveli planon, misteron"; "riveli foton per kemia bano".	révéler, développer (photo)	to reveal, to develop (phot.)	enthüllen, aufdecken, entwickeln			revelar	rivelare, sviluppare		revelar
RIVER/	river/o	F	BRO4: rivero		rivière, fleuve	river	Fluss	rzeka	????				
RIVERENC/	riverenc/i	F	BRO9: riverenci		révérence	curtsey AK	Verbeugung, Knicks AK	dygac'	????????, ?????? AK				
RIVOLU/	rivolu/o	8OA	BRO9: rivoluo	rivolu/o. Rotacio de 360°: "la tero rivoluas c^irkau( sia akso en 24 horoj kaj c^irkau( la suno en iom pli ol 365 tagoj".	révolution (méc., géom.), tour (d’hélice)	revolution (around an axis)	Tour, Umdrehung, Umlauf, Rotation			revolución (mec., geom.), vuelta	rivoluzione (mec., geom.)		revolução (mec., geom.)
RIZ/	riz/o	F	BRO7: rizo		riz	rice	Reis	ryz'	????				
ROB/	rob/o	2OA	BRO8: robo		robe	robe, gown	Robe, Rock						
ROK/	rok/o	3OA	BRO7: roko		roc	rock	Fels	ska?a (noto)		roca	roccia, rupe		rocha, rochedo
ROL/	rol/o	1OA	BRO9: rolo		rôle	part (in a play)	Rolle	rola (sceniczna)	????				
ROMAN/	roman/o	1OA	BRO9: romano		roman	romance	Roman	romans (lit.)	??????				
ROMP/	romp/i	F	BRO4: rompi		rompre, casser	break	brechen	?amac'	??????				
ROND/	rond/o	F	BRO4: rondo		rond, cercle	round, circle	Kreis	ko?o, kra;g AK	?????				
RONK/	ronk/i	F	BRO8: ronki		ronfler	snore	schnarchen	chrapac'	???????				
ROS/	ros/o	F	BRO9: roso		rosée	dew	Thau	rosa	????				
ROST/	rost/i	F	BRO8: rosti		(faire) rôtir (trans.) AK	roast	braten	piec, smaz.yc'	??????				
ROZ/	roz/o	F	BRO4: rozo		rose	rose	Rose	roz'a	????				
RUBAND/	ruband/o	F	BRO9: rubando		ruban, cordon	ribbon	Band (das)	wsta;z'ka	?????				
RUG^/	rug^/a	F	BRO2: rug^a		rouge	red	roth	czerwony	???????				
RUIN/	ruin/o	F	BRO9: ruino		ruines	ruins, a ruin AK	Ruine	rozwaliny, zwaliska	?????????				
RUST/	rust/o	F	BRO9: rusto		rouille	rust	rostig	rdza	????????				
RUZ/	ruz/a	F	BRO7: ruza		rusé, astucieux	cunning, sly AK	listig	chytry	??????				
SABAT/	sabat/o	F	BRO5: sabato		samedi	Saturday	Sonnabend	sobota	???????				
SABL/	sabl/o	F	BRO7: sablo		sable	sand	Sand	piasek	??????				
SAG/	sag/o	F	BRO9: sago		flèche	arrow	Pfeil	strza?a	??????				
SAGAC/	sagac/a	F	BRO8: sagaca		subtil, ingénieux, perspicace AK	subtle, crafty, sharp	scharfsinnig, spitzfindig AK	przebieg?y	??????, ?????????????? AK				
SAG^/	sag^/a	F	BRO5: sag^a		sage, sensé	wise	klug, weise AK	ma;dry	?????				
SAK/	sak/o	F	BRO5: sako		sac	sack	Sack	worek	??????				
SAL/	sal/o	F	BRO6: salo		sel	salt	Salz	sól	????				
SALAJR/	salajr/o	F	BRO7: salajro		salaire, appointements	wages, salary	Gehalt, Lohn AK	pensya	?????????				
SALAT/	salat/o	F	BRO9: salato		salade	salad AK	Salat	sa?ata	??????				
SALIK/	salik/o	F	BRO9: saliko		saule	willow	Weide (Baum) AK	wierzba	?????				
SALON/	salon/o	F	BRO8: salono		salun	drawing-room AK	Salon	salon	????				
SALT/	salt/i	F	BRO4: salti		sauter, bondir	leap, jump	springen	skakac'	???????				
SALUT/	salut/i	F	BRO4: saluti		saluer	salute, greet	grüssen	k?aniac' sie;, pozdrawiac' AK	?????????, ?????????????? AK				
SAM/	sam/a	F	BRO2: sama		même (qui n’est pas autre)	same	selbe(r), gleiche(r) AK	z'e, sam (np. tamz'e, ten sam)	??, ????? (????. ???? ??, ???? ?????)				
SAN/	san/a	F	BRO4: sana		sain, en santé	healthy	gesund	zdrowy	????????				
SANDVIC^/	sandvic^/o	8OA	BRO9: sandvic^o	sandvic^/o. Mang^aj^o, konsistanta el ia nutraj^o metita inter du pantranc^oj.	sandwich	sandwich	Sandwich, belegtes Brötchen, Doppelschnitte			“sándwich”, emparedado (noto)	“sandwich”, panino imbottito, panino gravido		sanduíche
SANG/	sang/o	F	BRO4: sango		sang	blood	Blut	krew	?????				
SANKT/	sankt/a	F	BRO6: sankta		saint	sacred, holy AK	heilig	s'wie;ty	??????, ?????????				
SAP/	sap/o	F	BRO6: sapo		savon	soap	Seife	myd?o	????				
SARK/	sark/i	F	BRO9: sarki		sarcler	weed (vb.) AK	gäten	pielic'	??????				
SAT/	sat/a	F	BRO4: sata		rassasié	satiated	satt	syty	?????				
SATIR/	satir/o	1OA	BRO9: satiro		satire (litt.)	satire	Satire	satyra	??????				
SAU(C/	sau(c/o	F	BRO8: sau(co		sauce	sauce	Brühe, Sauce	sos	?????				
SAV/	sav/i	F	BRO6: savi		sauver	save, rescue AK	retten	ratowac', zbawiac' AK	???????				
SCEN/	scen/o	F +1OA +7OA	BRO7: sceno		scène	scene	Scene	scena	?????				
SCI/	sci/i	F	BRO2: scii		savoir	know	wissen	wiedziec'	?????, ??????				
SCIENC/	scienc/o	F	BRO6: scienco		science	science	Wissenschaft	nauka, wiedza	?????				
SCIUR/	sciur/o	F	BRO9: sciuro		écureuil	squirrel	Eichhorn	wiewiórka	?????				
SE	se	F	BRO1: se		si (conditionnel) AK	if	wenn	jez'eli	????				
SED	sed	F	BRO1: sed		mais	but	aber, sondern	lecz	??				
SEG/	seg/i	F	BRO8: segi		scier	saw (vb.) AK	sägen	pi?owac'	??????				
SEG^/	seg^/o	F	BRO4: seg^o		siège, chaise AK	chair AK	Stuhl	krzes?o	?????				
SEK/	sek/a	F	BRO5: seka		sec	dry	trocken	suchy	?????				
SEKAL/	sekal/o	F	BRO9: sekalo		seigle	rye	Roggen	z'yto	????				
SEKC/	sekc/i	F	BRO9: sekci		disséquer	dissect	seciren	rozkrawac', rozcz?onkowac'	????????? (?????)				
SEKCI/	sekci/o	1OA	BRO9: sekcio		section	section	Sektion	sekcja	??????				
SEKRET/	sekret/o	F	BRO6: sekreto		secret	secret	Geheimniss	tajemnica	?????, ?????? AK				
SEKRETARI/	sekretari/o	F	BRO8: sekretario		secrétaire	secretary	Sekretär	sekretarz	?????????				
SEKS/	seks/o	F	BRO8: sekso		sexe	sex	Geschlecht (männlich oder weiblich)	p?ec'	???? (??????? ??? ???????)				
SEKUND/	sekund/o	F	BRO7: sekundo		seconde	second (a) AK	Sekunde	sekunda	???????				
SEKUR/	sekur/a	4OA	BRO9: sekura	sekur/a. Estanta en sendang^era situacio.	qui est en sûreté, à l’abri du péril, qui ne court aucun risque	safe, secure	sicher, ausser Gefahr			seguro, sin riesgo, libre de peligro	sicuro, sano e salvo	sense risc, assegurat	seguro, em segurança
SEKV/	sekv/i	F	BRO2: sekvi		suivre	follow	folgen	nasta;pic', is'c' za kim, wynikac' AK	?????????				
SEM/	sem/o	F	BRO6: semo		semer	sow	säen	siac'	?????				
SEMAJN/	semajn/o	F	BRO3: semajno		semaine	week	Woche	tydzien'	??????				
SEN	sen	F	BRO1: sen		sans	without	ohne	bez	????				
SENAT/	senat/o	1OA	BRO9: senato		sénat	senate	Senat	senat	??????				
SENC/	senc/o	F	BRO5: senco		sens, acception, signification AK	sense, meaning AK	Sinn	znaczenie, sens	??????				
SEND/	send/i	F	BRO2: sendi		envoyer	send	senden, schicken	posy?ac'	????????				
SENS/	sens/o	8OA	BRO8: senso	sens/o. C^iu el la specialaj korpaj kapabloj de homo au( de animalo, per kiuj tiu ricevas sciigojn pri iaj elementoj, fizikaj au( kemiaj, de la ekstera medio au( de la interna medio: "vidado, au(dado, flarado, gustumado kaj tus^ado estas la kvin klasikaj sensoj"; "muskola senso", "ekvilibrosenso".	sens (les cinq sens)	sense (the five senses)	Sinn (die fünf Sinne)			sentido (los cinco sentidos)	senso (i cinque sensi)		sentido (os cinco sentidos)
SENT/	sent/i	F	BRO3: senti		ressentir, éprouver (une impression)	feel, perceive	fühlen, empfinden AK	czuc'	???????????				
SEP	sep	F	BRO1: sep		sept	seven	sieben	siedm	????				
SEPTEMBR/	Septembr/o	F	BRO5: Septembro		Septembre	September	September	Wrzesien'	????????				
SERC^/	serc^/i	F	BRO3: serc^i		chercher	search	suchen	szukac'	??????				
SEREN/	seren/a	2OA	BRO8: serena		serein	serene	ungetrübt, heiter						
SERI/	seri/o	F	BRO6: serio		série	series	Reihe	serya	????, ?????				
SERIOZ/	serioz/a	F	BRO5: serioza		sérieux	serious	ernst	powaz.ny, na serjo AK	?????????				
SERPENT/	serpent/o	F	BRO6: serpento		serpent	serpent	Schlange	wa;z'	????				
SERUR/	serur/o	F	BRO7: seruro		serrure	lock (fastening) AK	Schloss (zum Schliessen)	zamek (od drzwi)	??????				
SERV/	serv/i	F	BRO4: servi		servir (quelqu’un)	serve	dienen	s?uz'yc'	???????				
SES	ses	F	BRO1: ses		six	six	sechs	szes'c'	?????				
SEVER/	sever/a	F	BRO7: severa		sévère	severe, strict AK	streng	surowy, ostry, srogi	???????				
SEZON/	sezon/o	F	BRO6: sezono		saison	season	Jahrzeit, Zeit	sezon	??????				
SI	si	F	BRO1: si		soi, se	one’s self	sich	siebie	????				
SID/	sid/i	F	BRO2: sidi		être assis, siéger	sit	sitzen	siedziec'	??????				
SIGN/	sign/o	F	BRO6: signo		signe, marque	sign, token	Zeichen	znak	?????				
SIGNAL/	signal/o	F	BRO8: signalo		signal	signal	Signal	sygna?	???????				
SIGNIF/	signif/i	F	BRO7: signifi		signifier	signify, mean	bezeichnen, bedeuten	oznaczac', miec' znaczenie AK	????????				
SILENT/	silent/i	F	BRO4: silenti		se taire	be silent AK	schweigen	milczec'	???????				
SILK/	silk/o	F	BRO8: silko		soie	silk	Seide	jedwab	?????				
SIMI/	simi/o	F	BRO8: simio		singe	monkey	Affe	ma?pa	????????				
SIMIL/	simil/a	F	BRO5: simila		semblable	like, similar	ähnlich	podobny	???????				
SIMPATI/	simpati/o	1OA	BRO8: simpatio		sympathie (noto)	sympathy	Sympathie	sympatja	????????				
SIMPL/	simpl/a	F	BRO3: simpla		simple	simple	einfach	prosty, zwyczajny	???????				
SIN/	sin/o	8OA	BRO9: sino	sin/o. Homa brusto, rigardata kiel formanta kun la brakoj au( femuroj ian varman s^irmejon.	sein, giron	bosom, breast, lap	Busen, Brust, Schoss			seno, regazo	seno, petto		seio, regaço
SINCER/	sincer/a	F	BRO7: sincera		sincère	sincere	aufrichtig	szczery	????????? AK				
SINDIKAT/	sindikat/o	2OA	BRO9: sindikato		syndicat	sindicate	Genossenschaft						
SINGULAR/	singular/o	8OA	BRO9: singularo	singular/o. Gramatika nombro, montranta, ke oni parolas pri ununura persono au( afero.	le singulier (gram.)	the singular	Einzahl, Singular			el singular	il singolare		singular
SINJOR/	sinjor/o	F	BRO2: sinjoro		monsieur	Sir, Mr	Herr	pan	????????, ?????? AK				
SISTEM/	sistem/o	F +1OA +7OA	BRO8: sistemo		système	system	System	system	???????				
SITEL/	sitel/o	F	BRO8: sitelo		seau	bucket, pail AK	Eimer	wiadro, ceber	?????				
SITU/	situ/o	8OA	BRO9: situo	situ/o. Loko rigardata konsidere al la kondic^oj, kiujn g^i prezentis au( prezentas por la starigo de homlog^ejoj (naturo de la grundo, ebloj de vivtenado, defendorimedoj, ktp).	site, situation (géo.), position, assiette (d’une ville)	site, situation, position	Lage, Situation			sitio, situación, posición, asiento	sito, situazione, posizione		situação, localização
SITUACI/	situaci/o	F	BRO9: situacio		situation, position	situation, position AK	Lage	sytuacya, po?oz'enie	?????????				
SKAL/	skal/o	F	BRO7: skalo		échelle (mesure, série) AK	scale (measure) AK	Massstab	miara (podzia?ka na mapie)	????????				
SKATOL/	skatol/o	F	BRO6: skatolo		boîte	small box, case	Büchse, Schachtel	pude?ko	???????				
SKI/	ski/o	8OA	BRO9: skio	ski/o. C^iu peco el paro da lignaj, plastaj au( metalaj tabuloj, longaj c^irkau( du metrojn, larg^aj 7 g^is 9 centimetrojn, kun suprenkurbita antau(a ekstremaj^o, kiun oni alfiksas al c^iu s^uo kaj per kiu oni glitas sur la neg^o.	ski	ski	Ski, Schi			esquí	sci		esqui
SKLAV/	sklav/o	F	BRO8: sklavo		esclave	slave	Sklave AK	niewolnik	????				
SKORPI/	skorpi/o	F	BRO9: skorpio		scorpion	scorpion	Scorpion	niedz'wiadek	?????????				
SKRAP/	skrap/i	F	BRO6: skrapi		râcler, ratisser	shave, scrape	schaben	skrobac'	????????				
SKRIB/	skrib/i	F	BRO2: skribi		écrire	write	schreiben	pisac'	??????				
SKU/	sku/i	F	BRO8: skui		secouer	shake (trans.) AK	schütteln	trza;s'c'	??????				
SKULPT/	skulpt/i	F	BRO7: skulpti		sculpter	sculpture	aushauen, schnitzen	rzez'bic'	?????				
SLED/	sled/o	8OA	BRO9: sledo	sled/o. Veturilo, provizita per glitiloj anstatau( radoj, uzata por transporti s^arg^ojn au( homojn, tirata de c^evaloj, hundoj, boacoj, au( pus^ata de homo.	traîneau, (schlitte)	sled, sledge, sleigh	Schlitten			trineo	slitta		trenó
SOBR/	sobr/a	F	BRO8: sobra		sobre	sober	nüchtern	trzez'wy	???????				
SOCI/	soci/o	3OA	BRO7: socio		corps social, société, collectivité	social body, community	Gemeinwesen	spo?eczen'stwo (noto)		comunidad	corpo sociale, societa?, collettivita?		communidade, congregação
SOCIAL/	social/a	2OA	BRO9: sociala										
SOCIET/	societ/o	F	BRO7: societo		société	society	Gesellschaft	spo?eczen'stwo, towarzystwo	????????				
SOF/	sof/o	F	BRO9: sofo		sofa	sofa	Sofa	sofa	????				
SOIF/	soif/i	F	BRO6: soifi		avoir soif	thirst	dursten	pragna;c', doznawac' pragnienia	???????				
SOJL/	sojl/o	F	BRO8: sojlo		seuil	threshold	Schwelle	próg	??????				
SOL/	sol/a	F	BRO3: sola		seul	only, alone	einzig, allein	jedyny, sam AK	????????????, ???? AK				
SOLDAT/	soldat/o	F	BRO6: soldato		soldat	soldier	Soldat	z.olnierz, so?dat	???????				
SOLEN/	solen/a	F	BRO9: solena		solennel	solemn	feierlich	uroczysty, solenny	?????????????				
SOLID/ (fiz. geom.)	solid/o	2OA	BRO7: solido										
SOLIDAR/	solidar/a	1OA	BRO9: solidara		solidaire	jointly liable	solidarisch	solidarny	??????????				
SOLV/	solv/i	F	BRO7: solvi		résoudre, dissoudre AK	dissolve AK	lösen, auflösen AK	rozwia;zac'	?????????? ? ????????; ?????? ??????, ??????? AK				
